Simulation Frame;Aberta dos Morros;Agronomia;Anchieta;Arquipélago;Auxiliadora;Azenha;Bela Vista;Belém Novo;Belém Velho;Boa Vista;Boa Vista do Sul;Bom Fim;Bom Jesus;Camaquã;Campo Novo;Cascata;Cavalhada;Centro Histórico;Chácara das Pedras;Chapéu do Sol;Cidade Baixa;Cel. Aparício Borges;Costa e Silva;Cristal;Cristo Redentor;Espírito Santo;Extrema;Farrapos;Farroupilha;Floresta;Glória;Guarujá;Higienópolis;Hípica;Humaitá;Independência;Ipanema;Jardim Botânico;Jardim Carvalho;Jardim do Salso;Jardim Leopoldina;Jardim Europa;Jardim Floresta;Jardim Isabel;Jardim Itú;Jardim Lindóia;Jardim Sabará;Jardim São Pedro;Lageado;Lami;Lomba do Pinheiro;Mário Quintana;Medianeira;Menino Deus;Moinhos de Vento;Mont'Serrat;Morro Santana;Navegantes;Nonoai;Parque Santa Fé;Partenon;Passo D'Areia;Passo das Pedras;Pedra Redonda;Petrópolis;Pitinga;Ponta Grossa;Praia de Belas;Restinga;Rio Branco;Rubem Berta;Santa Cecília;Santa Maria Goretti;Santa Rosa de Lima;Santa Tereza;Santana;Santo Antônio;São Caetano;São Geraldo;São João;São Sebastião;Sarandi;Serraria;Sétimo Céu;Teresópolis;Três Figueiras;Tristeza;Vila Assunção;Vila Conceição;Vila Ipiranga;Vila Jardim;Vila João Pessoa;Vila Nova;São José
10;11;13;2;6;13;15;17;8;14;20;6;15;15;13;16;11;13;10;14;11;17;15;13;19;10;7;6;9;15;13;19;14;9;12;9;12;13;20;16;15;18;13;16;9;12;13;21;10;11;7;11;11;16;13;14;19;12;10;20;11;17;20;9;14;14;14;11;12;6;15;9;16;16;11;17;13;10;7;12;18;14;7;10;17;7;15;11;10;11;15;15;15;18;14
11;13;13;3;6;13;15;17;8;14;21;6;15;16;13;17;12;14;11;15;12;18;15;14;19;10;8;6;10;15;14;19;16;9;12;11;13;14;20;16;15;19;13;17;10;13;15;22;10;11;9;11;11;16;15;14;20;13;10;20;12;17;22;10;14;14;14;12;12;6;16;9;16;16;11;17;13;10;7;13;19;14;7;11;17;10;15;12;10;11;15;15;15;18;14
12;13;14;3;6;14;18;18;9;16;21;7;15;16;13;18;12;15;11;17;12;18;16;15;19;13;10;8;10;15;14;19;16;11;12;11;14;15;20;16;15;20;14;17;13;15;15;23;13;11;9;12;11;18;18;17;22;13;12;22;14;18;24;10;15;14;14;12;14;8;17;9;17;20;11;19;13;11;8;13;19;14;7;12;18;10;17;13;10;12;17;15;15;20;16
13;13;14;4;6;17;19;19;9;16;21;7;15;18;14;19;12;16;11;18;14;19;16;16;20;15;11;9;11;16;14;19;16;12;12;11;14;16;21;17;15;20;14;17;13;16;15;24;14;11;9;12;11;19;18;17;23;14;12;24;14;18;24;10;15;14;14;13;16;8;19;10;18;20;11;19;16;11;8;13;20;15;7;12;18;10;18;13;10;13;18;16;16;20;17
14;13;14;4;6;20;19;19;9;16;22;7;16;20;14;19;12;17;12;18;16;20;16;17;21;16;11;9;11;18;14;21;16;12;12;11;14;17;21;18;15;20;14;18;13;16;16;24;14;11;9;12;11;19;18;18;23;14;12;25;14;18;24;11;16;15;14;13;16;10;19;11;18;20;11;19;17;11;8;13;20;17;7;13;18;11;19;14;10;14;18;16;17;20;17
15;14;14;4;6;20;19;19;10;16;22;7;16;20;14;19;12;17;12;18;17;21;17;18;21;16;11;10;12;19;17;21;16;13;13;11;15;17;21;18;16;20;14;20;14;16;16;24;14;12;10;13;11;19;18;18;24;14;12;25;14;18;24;11;16;15;14;13;17;11;19;11;19;20;11;19;17;12;8;14;20;18;8;15;18;11;21;14;10;14;18;16;19;20;18
16;14;16;6;7;20;19;20;11;17;23;8;17;21;15;20;13;17;13;19;17;21;17;18;21;17;12;10;12;19;17;21;17;15;14;12;15;17;21;19;17;20;15;20;15;16;17;25;14;12;11;13;12;20;18;18;24;14;12;25;14;20;26;14;16;18;14;13;18;11;19;11;21;20;14;20;19;12;9;16;23;19;10;15;19;12;21;16;10;15;21;18;21;21;19
17;14;16;6;7;20;19;20;11;19;23;8;17;22;15;20;15;17;13;19;17;21;18;18;22;17;12;10;13;19;17;21;18;15;14;12;15;17;22;19;17;20;17;21;16;16;17;25;14;12;11;13;12;21;20;19;25;14;14;25;14;21;26;14;17;19;16;13;19;11;19;11;21;20;14;21;19;13;9;16;24;20;10;16;20;13;22;17;10;15;21;18;21;21;19
18;14;16;7;7;20;19;20;13;20;24;9;17;22;15;20;15;17;14;19;18;21;18;18;22;18;13;10;13;19;18;22;18;16;14;13;15;17;23;20;18;20;17;21;17;17;17;25;14;12;11;13;13;21;21;19;26;15;14;26;14;21;26;14;17;20;17;14;21;11;19;12;22;20;14;22;19;13;9;16;24;20;10;17;20;14;22;17;11;16;22;18;21;21;20
19;14;16;8;7;20;19;20;14;21;24;10;18;22;15;20;15;17;15;20;18;22;18;18;22;18;13;10;14;19;18;22;19;17;14;13;15;17;24;20;18;20;17;21;17;17;18;25;15;14;11;14;13;21;21;19;27;15;14;26;14;21;26;14;17;20;18;14;21;11;20;13;23;21;14;22;20;13;9;16;25;20;10;17;20;15;22;17;11;17;23;19;21;21;20
20;15;16;8;7;23;19;20;14;22;25;10;18;23;15;22;16;17;15;20;20;23;18;18;22;18;14;11;14;20;20;22;19;17;14;13;15;19;26;20;20;20;18;21;17;18;20;27;16;14;12;15;14;23;22;21;27;17;14;26;14;21;27;15;17;21;19;16;22;12;21;13;23;21;14;22;21;14;9;16;25;21;11;17;21;16;22;19;12;17;23;20;21;21;21
21;15;16;8;7;23;19;20;15;22;25;10;19;23;15;23;17;17;15;21;21;24;18;19;22;19;15;12;14;21;20;22;19;17;14;13;15;19;26;20;20;20;19;21;17;18;20;27;16;14;13;15;14;23;22;21;27;17;14;27;14;21;27;15;18;22;19;16;22;13;21;15;23;21;15;23;21;14;9;16;26;22;11;17;22;16;23;19;12;17;23;21;21;21;21
22;15;17;8;7;23;20;20;15;22;25;10;19;23;16;23;18;17;15;21;21;24;18;20;22;19;16;13;14;21;20;22;20;18;14;14;15;19;26;21;20;20;19;21;17;18;21;27;16;14;13;15;14;24;22;21;28;17;14;27;14;21;27;15;19;22;19;16;23;13;22;15;23;21;15;24;21;14;9;16;26;22;11;18;23;17;23;19;12;17;23;21;21;21;21
23;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;2;1;1;1;1;1;2;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;2;1;1;2;1;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1
