;SimulationStep;Cycle Step;Cycle;Origin;Destination;Total;age: [children];age: [young];age: [adults];age: [elders];occupation: [idle];occupation: [student];occupation: [worker]
144;0;0;0;Santa Cecília;Bom Fim;0;0;0;0;0;0;0;0
145;0;0;0;Santa Cecília;Centro;0;0;0;0;0;0;0;0
146;0;0;0;Santa Cecília;Cidade Baixa;0;0;0;0;0;0;0;0
147;0;0;0;Santa Cecília;Farroupilha;0;0;0;0;0;0;0;0
148;0;0;0;Santa Cecília;Floresta;0;0;0;0;0;0;0;0
149;0;0;0;Santa Cecília;Independência;0;0;0;0;0;0;0;0
150;0;0;0;Santa Cecília;Menino Deus;0;0;0;0;0;0;0;0
151;0;0;0;Santa Cecília;Moinhos de Vento;0;0;0;0;0;0;0;0
152;0;0;0;Santa Cecília;Praia de Belas;0;0;0;0;0;0;0;0
153;0;0;0;Santa Cecília;Rio Branco;1;0;1;0;0;0;0;1
154;0;0;0;Santa Cecília;Santa Cecília;8;0;0;7;1;0;0;8
155;0;0;0;Santa Cecília;Santana;1;0;0;1;0;0;0;1
156;0;0;0;Santana;Azenha;0;0;0;0;0;0;0;0
157;0;0;0;Santana;Bom Fim;0;0;0;0;0;0;0;0
158;0;0;0;Santana;Centro;0;0;0;0;0;0;0;0
159;0;0;0;Santana;Cidade Baixa;0;0;0;0;0;0;0;0
160;0;0;0;Santana;Farroupilha;0;0;0;0;0;0;0;0
161;0;0;0;Santana;Floresta;0;0;0;0;0;0;0;0
162;0;0;0;Santana;Independência;0;0;0;0;0;0;0;0
163;0;0;0;Santana;Menino Deus;0;0;0;0;0;0;0;0
164;0;0;0;Santana;Moinhos de Vento;0;0;0;0;0;0;0;0
165;0;0;0;Santana;Praia de Belas;0;0;0;0;0;0;0;0
166;0;0;0;Santana;Rio Branco;0;0;0;0;0;0;0;0
167;0;0;0;Santana;Santa Cecília;1;0;0;0;1;0;0;1
168;0;0;0;Santana;Santana;8;0;2;2;4;0;0;8
169;1;1;0;Azenha;Azenha;11;0;1;8;2;4;2;5
170;1;1;0;Azenha;Bom Fim;0;0;0;0;0;0;0;0
171;1;1;0;Azenha;Centro;1;0;0;1;0;0;0;1
172;1;1;0;Azenha;Cidade Baixa;0;0;0;0;0;0;0;0
173;1;1;0;Azenha;Farroupilha;0;0;0;0;0;0;0;0
174;1;1;0;Azenha;Floresta;0;0;0;0;0;0;0;0
175;1;1;0;Azenha;Independência;0;0;0;0;0;0;0;0
176;1;1;0;Azenha;Menino Deus;2;0;0;2;0;1;0;1
177;1;1;0;Azenha;Moinhos de Vento;0;0;0;0;0;0;0;0
178;1;1;0;Azenha;Praia de Belas;0;0;0;0;0;0;0;0
179;1;1;0;Azenha;Rio Branco;0;0;0;0;0;0;0;0
180;1;1;0;Azenha;Santa Cecília;0;0;0;0;0;0;0;0
181;1;1;0;Azenha;Santana;1;0;1;0;0;1;0;0
182;1;1;0;Bom Fim;Azenha;0;0;0;0;0;0;0;0
183;1;1;0;Bom Fim;Bom Fim;6;0;0;6;0;2;1;3
184;1;1;0;Bom Fim;Centro;1;0;0;1;0;0;1;0
185;1;1;0;Bom Fim;Cidade Baixa;0;0;0;0;0;0;0;0
186;1;1;0;Bom Fim;Farroupilha;0;0;0;0;0;0;0;0
187;1;1;0;Bom Fim;Floresta;0;0;0;0;0;0;0;0
188;1;1;0;Bom Fim;Independência;1;0;0;0;1;0;0;1
189;1;1;0;Bom Fim;Menino Deus;0;0;0;0;0;0;0;0
190;1;1;0;Bom Fim;Moinhos de Vento;0;0;0;0;0;0;0;0
191;1;1;0;Bom Fim;Praia de Belas;0;0;0;0;0;0;0;0
192;1;1;0;Bom Fim;Rio Branco;2;0;0;1;1;1;0;1
193;1;1;0;Bom Fim;Santa Cecília;0;0;0;0;0;0;0;0
194;1;1;0;Bom Fim;Santana;0;0;0;0;0;0;0;0
195;1;1;0;Centro;Azenha;0;0;0;0;0;0;0;0
196;1;1;0;Centro;Bom Fim;0;0;0;0;0;0;0;0
197;1;1;0;Centro;Centro;25;0;2;15;8;11;5;9
198;1;1;0;Centro;Cidade Baixa;0;0;0;0;0;0;0;0
199;1;1;0;Centro;Farroupilha;0;0;0;0;0;0;0;0
200;1;1;0;Centro;Floresta;0;0;0;0;0;0;0;0
201;1;1;0;Centro;Independência;0;0;0;0;0;0;0;0
202;1;1;0;Centro;Menino Deus;0;0;0;0;0;0;0;0
203;1;1;0;Centro;Moinhos de Vento;0;0;0;0;0;0;0;0
204;1;1;0;Centro;Praia de Belas;0;0;0;0;0;0;0;0
205;1;1;0;Centro;Rio Branco;0;0;0;0;0;0;0;0
206;1;1;0;Centro;Santa Cecília;0;0;0;0;0;0;0;0
207;1;1;0;Centro;Santana;0;0;0;0;0;0;0;0
208;1;1;0;Cidade Baixa;Azenha;0;0;0;0;0;0;0;0
209;1;1;0;Cidade Baixa;Bom Fim;0;0;0;0;0;0;0;0
210;1;1;0;Cidade Baixa;Centro;2;0;0;2;0;0;1;1
211;1;1;0;Cidade Baixa;Cidade Baixa;10;0;5;3;2;3;3;4
212;1;1;0;Cidade Baixa;Farroupilha;0;0;0;0;0;0;0;0
213;1;1;0;Cidade Baixa;Floresta;0;0;0;0;0;0;0;0
214;1;1;0;Cidade Baixa;Independência;0;0;0;0;0;0;0;0
215;1;1;0;Cidade Baixa;Menino Deus;1;0;0;1;0;1;0;0
216;1;1;0;Cidade Baixa;Moinhos de Vento;0;0;0;0;0;0;0;0
217;1;1;0;Cidade Baixa;Praia de Belas;0;0;0;0;0;0;0;0
218;1;1;0;Cidade Baixa;Rio Branco;0;0;0;0;0;0;0;0
219;1;1;0;Cidade Baixa;Santa Cecília;0;0;0;0;0;0;0;0
220;1;1;0;Cidade Baixa;Santana;0;0;0;0;0;0;0;0
221;1;1;0;Farroupilha;Azenha;0;0;0;0;0;0;0;0
222;1;1;0;Farroupilha;Bom Fim;1;0;0;1;0;1;0;0
223;1;1;0;Farroupilha;Centro;2;0;0;2;0;0;1;1
224;1;1;0;Farroupilha;Cidade Baixa;1;0;0;0;1;1;0;0
225;1;1;0;Farroupilha;Farroupilha;1;0;1;0;0;1;0;0
226;1;1;0;Farroupilha;Floresta;0;0;0;0;0;0;0;0
227;1;1;0;Farroupilha;Independência;0;0;0;0;0;0;0;0
228;1;1;0;Farroupilha;Menino Deus;1;0;0;0;1;1;0;0
229;1;1;0;Farroupilha;Moinhos de Vento;0;0;0;0;0;0;0;0
230;1;1;0;Farroupilha;Praia de Belas;0;0;0;0;0;0;0;0
231;1;1;0;Farroupilha;Rio Branco;0;0;0;0;0;0;0;0
232;1;1;0;Farroupilha;Santa Cecília;0;0;0;0;0;0;0;0
233;1;1;0;Farroupilha;Santana;1;0;0;1;0;0;0;1
234;1;1;0;Floresta;Azenha;0;0;0;0;0;0;0;0
235;1;1;0;Floresta;Bom Fim;0;0;0;0;0;0;0;0
236;1;1;0;Floresta;Centro;1;0;1;0;0;1;0;0
237;1;1;0;Floresta;Cidade Baixa;0;0;0;0;0;0;0;0
238;1;1;0;Floresta;Farroupilha;0;0;0;0;0;0;0;0
239;1;1;0;Floresta;Floresta;8;0;2;5;1;2;2;4
240;1;1;0;Floresta;Independência;1;0;0;1;0;1;0;0
241;1;1;0;Floresta;Menino Deus;0;0;0;0;0;0;0;0
242;1;1;0;Floresta;Moinhos de Vento;2;0;1;1;0;0;0;2
243;1;1;0;Floresta;Praia de Belas;0;0;0;0;0;0;0;0
244;1;1;0;Floresta;Rio Branco;0;0;0;0;0;0;0;0
245;1;1;0;Floresta;Santa Cecília;0;0;0;0;0;0;0;0
246;1;1;0;Floresta;Santana;0;0;0;0;0;0;0;0
247;1;1;0;Independência;Azenha;0;0;0;0;0;0;0;0
248;1;1;0;Independência;Bom Fim;2;0;0;2;0;0;0;2
249;1;1;0;Independência;Centro;2;0;0;1;1;1;0;1
250;1;1;0;Independência;Cidade Baixa;0;0;0;0;0;0;0;0
251;1;1;0;Independência;Farroupilha;0;0;0;0;0;0;0;0
252;1;1;0;Independência;Floresta;2;0;0;0;2;0;1;1
253;1;1;0;Independência;Independência;6;0;2;3;1;1;2;3
254;1;1;0;Independência;Menino Deus;0;0;0;0;0;0;0;0
255;1;1;0;Independência;Moinhos de Vento;1;0;0;0;1;1;0;0
256;1;1;0;Independência;Praia de Belas;0;0;0;0;0;0;0;0
257;1;1;0;Independência;Rio Branco;0;0;0;0;0;0;0;0
258;1;1;0;Independência;Santa Cecília;0;0;0;0;0;0;0;0
259;1;1;0;Independência;Santana;0;0;0;0;0;0;0;0
260;1;1;0;Menino Deus;Azenha;2;0;0;1;1;0;0;2
261;1;1;0;Menino Deus;Bom Fim;0;0;0;0;0;0;0;0
262;1;1;0;Menino Deus;Centro;1;0;0;0;1;0;0;1
263;1;1;0;Menino Deus;Cidade Baixa;0;0;0;0;0;0;0;0
264;1;1;0;Menino Deus;Farroupilha;0;0;0;0;0;0;0;0
265;1;1;0;Menino Deus;Floresta;0;0;0;0;0;0;0;0
266;1;1;0;Menino Deus;Independência;0;0;0;0;0;0;0;0
267;1;1;0;Menino Deus;Menino Deus;18;0;3;11;4;6;2;10
268;1;1;0;Menino Deus;Moinhos de Vento;0;0;0;0;0;0;0;0
269;1;1;0;Menino Deus;Praia de Belas;1;0;0;1;0;0;0;1
270;1;1;0;Menino Deus;Rio Branco;0;0;0;0;0;0;0;0
271;1;1;0;Menino Deus;Santa Cecília;0;0;0;0;0;0;0;0
272;1;1;0;Menino Deus;Santana;0;0;0;0;0;0;0;0
273;1;1;0;Moinhos de Vento;Azenha;0;0;0;0;0;0;0;0
274;1;1;0;Moinhos de Vento;Bom Fim;0;0;0;0;0;0;0;0
275;1;1;0;Moinhos de Vento;Centro;1;0;1;0;0;1;0;0
276;1;1;0;Moinhos de Vento;Cidade Baixa;0;0;0;0;0;0;0;0
277;1;1;0;Moinhos de Vento;Farroupilha;0;0;0;0;0;0;0;0
278;1;1;0;Moinhos de Vento;Floresta;0;0;0;0;0;0;0;0
279;1;1;0;Moinhos de Vento;Independência;0;0;0;0;0;0;0;0
280;1;1;0;Moinhos de Vento;Menino Deus;0;0;0;0;0;0;0;0
281;1;1;0;Moinhos de Vento;Moinhos de Vento;10;0;1;6;3;3;2;5
282;1;1;0;Moinhos de Vento;Praia de Belas;0;0;0;0;0;0;0;0
283;1;1;0;Moinhos de Vento;Rio Branco;0;0;0;0;0;0;0;0
284;1;1;0;Moinhos de Vento;Santa Cecília;0;0;0;0;0;0;0;0
285;1;1;0;Moinhos de Vento;Santana;0;0;0;0;0;0;0;0
286;1;1;0;Praia de Belas;Azenha;0;0;0;0;0;0;0;0
287;1;1;0;Praia de Belas;Bom Fim;0;0;0;0;0;0;0;0
288;1;1;0;Praia de Belas;Centro;1;0;0;1;0;1;0;0
289;1;1;0;Praia de Belas;Cidade Baixa;1;0;0;1;0;1;0;0
290;1;1;0;Praia de Belas;Farroupilha;0;0;0;0;0;0;0;0
291;1;1;0;Praia de Belas;Floresta;0;0;0;0;0;0;0;0
292;1;1;0;Praia de Belas;Independência;0;0;0;0;0;0;0;0
293;1;1;0;Praia de Belas;Menino Deus;2;0;0;0;2;1;0;1
294;1;1;0;Praia de Belas;Moinhos de Vento;0;0;0;0;0;0;0;0
295;1;1;0;Praia de Belas;Praia de Belas;1;0;0;1;0;0;0;1
296;1;1;0;Praia de Belas;Rio Branco;0;0;0;0;0;0;0;0
297;1;1;0;Praia de Belas;Santa Cecília;0;0;0;0;0;0;0;0
298;1;1;0;Praia de Belas;Santana;0;0;0;0;0;0;0;0
299;1;1;0;Rio Branco;Azenha;0;0;0;0;0;0;0;0
300;1;1;0;Rio Branco;Bom Fim;1;0;0;0;1;0;0;1
301;1;1;0;Rio Branco;Centro;1;0;0;1;0;0;0;1
302;1;1;0;Rio Branco;Cidade Baixa;0;0;0;0;0;0;0;0
303;1;1;0;Rio Branco;Farroupilha;0;0;0;0;0;0;0;0
304;1;1;0;Rio Branco;Floresta;0;0;0;0;0;0;0;0
305;1;1;0;Rio Branco;Independência;0;0;0;0;0;0;0;0
306;1;1;0;Rio Branco;Menino Deus;0;0;0;0;0;0;0;0
307;1;1;0;Rio Branco;Moinhos de Vento;0;0;0;0;0;0;0;0
308;1;1;0;Rio Branco;Praia de Belas;0;0;0;0;0;0;0;0
309;1;1;0;Rio Branco;Rio Branco;10;0;5;3;2;4;2;4
310;1;1;0;Rio Branco;Santa Cecília;0;0;0;0;0;0;0;0
311;1;1;0;Rio Branco;Santana;0;0;0;0;0;0;0;0
312;1;1;0;Santa Cecília;Azenha;0;0;0;0;0;0;0;0
313;1;1;0;Santa Cecília;Bom Fim;0;0;0;0;0;0;0;0
314;1;1;0;Santa Cecília;Centro;1;0;0;1;0;0;1;0
315;1;1;0;Santa Cecília;Cidade Baixa;0;0;0;0;0;0;0;0
316;1;1;0;Santa Cecília;Farroupilha;0;0;0;0;0;0;0;0
317;1;1;0;Santa Cecília;Floresta;0;0;0;0;0;0;0;0
318;1;1;0;Santa Cecília;Independência;0;0;0;0;0;0;0;0
319;1;1;0;Santa Cecília;Menino Deus;0;0;0;0;0;0;0;0
320;1;1;0;Santa Cecília;Moinhos de Vento;0;0;0;0;0;0;0;0
321;1;1;0;Santa Cecília;Praia de Belas;0;0;0;0;0;0;0;0
322;1;1;0;Santa Cecília;Rio Branco;2;0;1;1;0;1;1;0
323;1;1;0;Santa Cecília;Santa Cecília;5;0;0;4;1;4;1;0
324;1;1;0;Santa Cecília;Santana;2;0;0;0;2;1;1;0
325;1;1;0;Santana;Azenha;1;0;0;1;0;0;0;1
326;1;1;0;Santana;Bom Fim;0;0;0;0;0;0;0;0
327;1;1;0;Santana;Centro;1;0;1;0;0;0;1;0
328;1;1;0;Santana;Cidade Baixa;0;0;0;0;0;0;0;0
329;1;1;0;Santana;Farroupilha;0;0;0;0;0;0;0;0
330;1;1;0;Santana;Floresta;0;0;0;0;0;0;0;0
331;1;1;0;Santana;Independência;0;0;0;0;0;0;0;0
332;1;1;0;Santana;Menino Deus;1;0;0;1;0;1;0;0
333;1;1;0;Santana;Moinhos de Vento;0;0;0;0;0;0;0;0
334;1;1;0;Santana;Praia de Belas;0;0;0;0;0;0;0;0
335;1;1;0;Santana;Rio Branco;0;0;0;0;0;0;0;0
336;1;1;0;Santana;Santa Cecília;1;0;1;0;0;0;0;1
337;1;1;0;Santana;Santana;13;0;5;5;3;3;5;5
338;2;2;0;Azenha;Azenha;8;0;1;3;4;1;3;4
339;2;2;0;Azenha;Bom Fim;0;0;0;0;0;0;0;0
340;2;2;0;Azenha;Centro;1;0;0;1;0;1;0;0
341;2;2;0;Azenha;Cidade Baixa;0;0;0;0;0;0;0;0
342;2;2;0;Azenha;Farroupilha;0;0;0;0;0;0;0;0
343;2;2;0;Azenha;Floresta;0;0;0;0;0;0;0;0
344;2;2;0;Azenha;Independência;0;0;0;0;0;0;0;0
345;2;2;0;Azenha;Menino Deus;3;0;1;1;1;2;0;1
346;2;2;0;Azenha;Moinhos de Vento;0;0;0;0;0;0;0;0
347;2;2;0;Azenha;Praia de Belas;0;0;0;0;0;0;0;0
348;2;2;0;Azenha;Rio Branco;0;0;0;0;0;0;0;0
349;2;2;0;Azenha;Santa Cecília;0;0;0;0;0;0;0;0
350;2;2;0;Azenha;Santana;1;0;0;1;0;0;1;0
351;2;2;0;Bom Fim;Azenha;0;0;0;0;0;0;0;0
352;2;2;0;Bom Fim;Bom Fim;6;0;1;5;0;1;1;4
353;2;2;0;Bom Fim;Centro;2;0;1;0;1;0;1;1
354;2;2;0;Bom Fim;Cidade Baixa;0;0;0;0;0;0;0;0
355;2;2;0;Bom Fim;Farroupilha;0;0;0;0;0;0;0;0
356;2;2;0;Bom Fim;Floresta;0;0;0;0;0;0;0;0
357;2;2;0;Bom Fim;Independência;1;0;0;1;0;1;0;0
358;2;2;0;Bom Fim;Menino Deus;1;0;0;1;0;0;0;1
359;2;2;0;Bom Fim;Moinhos de Vento;0;0;0;0;0;0;0;0
360;2;2;0;Bom Fim;Praia de Belas;0;0;0;0;0;0;0;0
361;2;2;0;Bom Fim;Rio Branco;1;0;1;0;0;0;0;1
362;2;2;0;Bom Fim;Santa Cecília;0;0;0;0;0;0;0;0
363;2;2;0;Bom Fim;Santana;1;0;0;1;0;0;0;1
364;2;2;0;Centro;Azenha;0;0;0;0;0;0;0;0
365;2;2;0;Centro;Bom Fim;0;0;0;0;0;0;0;0
366;2;2;0;Centro;Centro;26;0;6;10;10;11;7;8
367;2;2;0;Centro;Cidade Baixa;0;0;0;0;0;0;0;0
368;2;2;0;Centro;Farroupilha;0;0;0;0;0;0;0;0
369;2;2;0;Centro;Floresta;0;0;0;0;0;0;0;0
370;2;2;0;Centro;Independência;0;0;0;0;0;0;0;0
371;2;2;0;Centro;Menino Deus;1;0;1;0;0;1;0;0
372;2;2;0;Centro;Moinhos de Vento;0;0;0;0;0;0;0;0
373;2;2;0;Centro;Praia de Belas;0;0;0;0;0;0;0;0
